category,name,addr,website,website_domain,maps,phone,brand,lat,lon,osm_type,osm_id
shop=clothes,Costume,Castle Market Dublin,https://costumedublin.ie/,costumedublin.ie,"https://www.google.com/maps/search/?api=1&query=53.3423555,-6.2631456",,,53.3423555,-6.2631456,node,6984776456
shop=clothes,Dance World,16 Sandford Road Dublin,https://www.danceworld.ie/,danceworld.ie,"https://www.google.com/maps/search/?api=1&query=53.3232912,-6.2495351",,,53.3232912,-6.2495351,way,615180148
shop=clothes,Dawson Boutique,Essex Street West Dublin D08 XW20,https://www.dawsonboutique.com/,dawsonboutique.com,"https://www.google.com/maps/search/?api=1&query=53.3444622,-6.2696587",,,53.3444622,-6.2696587,node,3384530243
shop=clothes,De Stafford Bridal,Wicklow Street Dublin,https://www.destaffordbridal.ie/,destaffordbridal.ie,"https://www.google.com/maps/search/?api=1&query=53.3429211,-6.2615238",,,53.3429211,-6.2615238,node,12093934870
shop=clothes,Diesel,Jervis Street Dublin,https://diesel.ie/,diesel.ie,"https://www.google.com/maps/search/?api=1&query=53.3484295,-6.266053",,Diesel,53.3484295,-6.266053,node,4711653164
shop=clothes,Diesel,Grafton Street Dublin,https://diesel.ie/,diesel.ie,"https://www.google.com/maps/search/?api=1&query=53.3415738,-6.2603653",,Diesel,53.3415738,-6.2603653,node,6772160807
shop=clothes,Diesel,38 Henry Street Dublin,https://diesel.ie/,diesel.ie,"https://www.google.com/maps/search/?api=1&query=53.3497185,-6.2615232",+353-1-8747132,Diesel,53.3497185,-6.2615232,way,435840489
shop=clothes,Diffney,,https://www.diffney.ie/,diffney.ie,"https://www.google.com/maps/search/?api=1&query=53.3020069,-6.179949",+353-1-288-7322,,53.3020069,-6.179949,node,4937329781
shop=clothes,Diffneys,Old Dublin Road,https://www.diffney.ie/,diffney.ie,"https://www.google.com/maps/search/?api=1&query=53.2897702,-6.2002",+353 1 2887 619,,53.2897702,-6.2002,node,3750529740
shop=clothes,Dimensions Dancewear (Moved),124 Drumcondra Road Upper,https://dimensionsdance.ie/,dimensionsdance.ie,"https://www.google.com/maps/search/?api=1&query=53.3728515,-6.2520893",,,53.3728515,-6.2520893,way,679252911
shop=clothes,Dress Circle,134 Terenure Road North Dublin,https://dresscircleterenure.wordpress.com/,dresscircleterenure.wordpress.com,"https://www.google.com/maps/search/?api=1&query=53.3101204,-6.2836055",,,53.3101204,-6.2836055,node,3106286539
shop=clothes,Dresscode Ltd,50 Finglas Business Centre Dublin,https://www.dresscode.ie/,dresscode.ie,"https://www.google.com/maps/search/?api=1&query=53.3973909,-6.2949428",+353 1 8640700,,53.3973909,-6.2949428,node,3069695516
shop=clothes,Drobey,1 Richmond Green,https://drobey.ie/,drobey.ie,"https://www.google.com/maps/search/?api=1&query=53.2932369,-6.1538325",,,53.2932369,-6.1538325,way,58647409
shop=clothes,Du Pareil au Même,Kilmacud Road Lower,https://www.dpam.ie/,dpam.ie,"https://www.google.com/maps/search/?api=1&query=53.2894018,-6.2006552",+353-1-210-1713,Du Pareil au Même,53.2894018,-6.2006552,node,4080207917
shop=clothes,Dublin Formal Wear,Main Street Tallaght,https://dublinformalwear.ie/,dublinformalwear.ie,"https://www.google.com/maps/search/?api=1&query=53.2880261,-6.3576961",,,53.2880261,-6.3576961,node,9230443425
shop=clothes,Dublin Vintage Factory,Wellington Quay Dublin,https://www.dublinvintagefactory.com/,dublinvintagefactory.com,"https://www.google.com/maps/search/?api=1&query=53.3457552,-6.2642205",,,53.3457552,-6.2642205,node,6112928287
shop=clothes,Dunnes Stores,Cromwellsfort Road Dublin,https://www.dunnesstores.com/,dunnesstores.com,"https://www.google.com/maps/search/?api=1&query=53.3158817,-6.3180328",,Dunnes Stores,53.3158817,-6.3180328,node,4913827541
shop=clothes,Electra,12 Donnybrook Road Dublin,https://www.electra.ie/,electra.ie,"https://www.google.com/maps/search/?api=1&query=53.322328,-6.2368634",+353-1-538-1230,,53.322328,-6.2368634,node,4553095332
shop=clothes,Fatface,Sandyford Road,https://www.fatface.com/,fatface.com,"https://www.google.com/maps/search/?api=1&query=53.2866594,-6.2411569",+353 1 2451 099,,53.2866594,-6.2411569,node,11940065872
shop=clothes,Feather & Frill,130 Terenure Road North Dublin,https://www.featherandfrill.com/,featherandfrill.com,"https://www.google.com/maps/search/?api=1&query=53.3102421,-6.283556",+353 1 4906857,,53.3102421,-6.283556,node,3106278308
shop=clothes,Ferraud,24 Duke Street,https://www.ferauddublin.com/,ferauddublin.com,"https://www.google.com/maps/search/?api=1&query=53.3418642,-6.2596157",,,53.3418642,-6.2596157,way,249264644
shop=clothes,Fitzgerald Private Clinic,3 Anne's Lane Dublin,https://www.fitzgeraldprivateclinic.com/,fitzgeraldprivateclinic.com,"https://www.google.com/maps/search/?api=1&query=53.34077,-6.2596746",,,53.34077,-6.2596746,node,12059966683
shop=clothes,Florence Lingerie,97 Patrick Street Dún Laoghaire,https://www.florencelingerie.com/,florencelingerie.com,"https://www.google.com/maps/search/?api=1&query=53.2915076,-6.1370841",+353-1-280-8641,,53.2915076,-6.1370841,node,6184660683
shop=clothes,Fran & Jane,,https://franandjane.com/,franandjane.com,"https://www.google.com/maps/search/?api=1&query=53.3019746,-6.1780741",,,53.3019746,-6.1780741,node,3740256303
shop=clothes,Francis Cambelli,William Street South Dublin,https://franciscampelli.com/,franciscampelli.com,"https://www.google.com/maps/search/?api=1&query=53.3413628,-6.2629333",,,53.3413628,-6.2629333,node,12109840003
shop=clothes,Fresh Cuts,13 Castle Market Dublin D02 XH05,https://www.freshcutsclothing.com/,freshcutsclothing.com,"https://www.google.com/maps/search/?api=1&query=53.3421421,-6.2635987",,,53.3421421,-6.2635987,node,12087084514
shop=clothes,Frewen & Aylward,44 George's Street Lower Dún Laoghaire A96 TV21,https://www.frewenmenswear.ie/,frewenmenswear.ie,"https://www.google.com/maps/search/?api=1&query=53.2932342,-6.1384848",+353-1-280-3127,,53.2932342,-6.1384848,node,6178626787
shop=clothes,Genius,Clarendon Street Dublin,https://www.genius.ie/,genius.ie,"https://www.google.com/maps/search/?api=1&query=53.3422373,-6.2613112",,,53.3422373,-6.2613112,node,12093934879
shop=clothes,Get Cash 4 Clothes!,,https://www.getcash.ie/,getcash.ie,"https://www.google.com/maps/search/?api=1&query=53.2608382,-6.1500744",,,53.2608382,-6.1500744,node,4256571992
shop=clothes,Get Outdoors,,https://www.malahideoutdoor.com,malahideoutdoor.com,"https://www.google.com/maps/search/?api=1&query=53.4449294,-6.1630015",+353 1 8457 236,,53.4449294,-6.1630015,node,12097071868
shop=clothes,H&M,Mary Street Dublin,https://www2.hm.com/,www2.hm.com,"https://www.google.com/maps/search/?api=1&query=53.3491439,-6.2649686",,H&M,53.3491439,-6.2649686,node,5377095225
shop=clothes,H&M,,https://www2.hm.com/en_ie/index.html,www2.hm.com,"https://www.google.com/maps/search/?api=1&query=53.286775,-6.2414338",,H&M,53.286775,-6.2414338,node,11940354094
shop=clothes,H&M,23-27 College Green Dublin,https://www2.hm.com/,www2.hm.com,"https://www.google.com/maps/search/?api=1&query=53.3440086,-6.2611598",,H&M,53.3440086,-6.2611598,way,251580559
shop=clothes,H&M,18-27 O'Connell Street Lower Dublin D01H6K0,https://www2.hm.com/en_ie/index.html,www2.hm.com,"https://www.google.com/maps/search/?api=1&query=53.3492526,-6.2595642",,H&M,53.3492526,-6.2595642,way,1222688188
shop=clothes,Harlequin,Castle Market Dublin,https://theharlequin.ie/,theharlequin.ie,"https://www.google.com/maps/search/?api=1&query=53.3423202,-6.262992",,,53.3423202,-6.262992,node,5506775255
shop=clothes,Harvey Nichols,Sandyford Road Dundrum D16 W0C0,https://www.harveynichols.com,harveynichols.com,"https://www.google.com/maps/search/?api=1&query=53.2881475,-6.2436025",,,53.2881475,-6.2436025,node,5661461552
shop=clothes,Hat Society,Taney Drive Dundrum,http://www.hatsociety.ie/,hatsociety.ie,"https://www.google.com/maps/search/?api=1&query=53.2924024,-6.2449321",+353 86 2643899,,53.2924024,-6.2449321,node,4265973305
shop=clothes,Havana,Donnybrook Road Donnybrook,https://www.havanaboutique.ie/,havanaboutique.ie,"https://www.google.com/maps/search/?api=1&query=53.3209564,-6.2349154",,,53.3209564,-6.2349154,node,5476926559
shop=clothes,House of Wool,Dublin,https://houseofwoolireland.com/,houseofwoolireland.com,"https://www.google.com/maps/search/?api=1&query=53.3396508,-6.2589053",+353 86 252 8800,,53.3396508,-6.2589053,node,9534229626
shop=clothes,Hugo Boss,68 Grafton Street Dublin,https://www.hugoboss.com/ie/storedetail?storeid=9927208,hugoboss.com,"https://www.google.com/maps/search/?api=1&query=53.3409779,-6.2607632",,Hugo Boss,53.3409779,-6.2607632,node,6187145168
shop=clothes,Human Collective Clothing,Dublin,https://wearehumancollective.com/,wearehumancollective.com,"https://www.google.com/maps/search/?api=1&query=53.3401242,-6.2617849",,,53.3401242,-6.2617849,node,11634194876
shop=clothes,Inco Boutique,Old Dublin Road,https://inco-boutique.com/,inco-boutique.com,"https://www.google.com/maps/search/?api=1&query=53.28982,-6.200016",+353-1-558-7120,,53.28982,-6.200016,node,9893524174
shop=clothes,Indigo & Cloth Menswear,Essex Street East Dublin,https://indigoandcloth.com/,indigoandcloth.com,"https://www.google.com/maps/search/?api=1&query=53.3451653,-6.2664225",,,53.3451653,-6.2664225,node,4494346690
shop=clothes,Jacadi,32 King Street South Dublin,https://www.jacadiireland.ie/,jacadiireland.ie,"https://www.google.com/maps/search/?api=1&query=53.3406078,-6.2630173",,Jacadi,53.3406078,-6.2630173,way,230357690
shop=clothes,Jack & Jones,A96 R268,https://www.jackjones.com/,jackjones.com,"https://www.google.com/maps/search/?api=1&query=53.2929807,-6.1392785",+353-1-230-0907,Jack & Jones,53.2929807,-6.1392785,node,9407869225
shop=clothes,Jack Wills,Dublin,https://www.jackwills.com/dublinjw-store-2264,jackwills.com,"https://www.google.com/maps/search/?api=1&query=53.3412401,-6.261265",,Jack Wills,53.3412401,-6.261265,node,366363183
shop=clothes,James Herren,44 Dawson Street Dublin,https://www.jamesherren.com/,jamesherren.com,"https://www.google.com/maps/search/?api=1&query=53.3409326,-6.2585904",,,53.3409326,-6.2585904,way,268836000
shop=clothes,JoJo Maman Bébé,14 Wicklow Street Dublin D02 WV97,https://www.jojomamanbebe.co.uk/storelocator/dublin-jojomamanbebe/0944,jojomamanbebe.co.uk,"https://www.google.com/maps/search/?api=1&query=53.3430312,-6.2609281",,,53.3430312,-6.2609281,node,12093934865
shop=clothes,Khan,,https://khan.ie/,khan.ie,"https://www.google.com/maps/search/?api=1&query=53.302215,-6.1786762",+353-1-278-1646,,53.302215,-6.1786762,node,996066798
shop=clothes,Levi's,38 Grafton Street Dublin,https://www.levi.com/,levi.com,"https://www.google.com/maps/search/?api=1&query=53.3408686,-6.2603647",,Levi's,53.3408686,-6.2603647,way,249212461
shop=clothes,Lipstick,Stillorgan Village Shopping Centre,http://www.choiceboutique.ie/,choiceboutique.ie,"https://www.google.com/maps/search/?api=1&query=53.289396,-6.2008892",+353-1-288-8367,,53.289396,-6.2008892,node,4080234181
shop=clothes,Louis Vuitton,Dublin,https://eu.louisvuitton.com/eng-e1/point-of-sale/ireland/louis-vuitton-dublin-brown-thomas,eu.louisvuitton.com,"https://www.google.com/maps/search/?api=1&query=53.3427436,-6.2606176",,Louis Vuitton,53.3427436,-6.2606176,node,12655529054
shop=clothes,Love Suits,Old Bawn Shopping Centre,https://www.lovesuits.ie/,lovesuits.ie,"https://www.google.com/maps/search/?api=1&query=53.2755301,-6.3529065",,,53.2755301,-6.3529065,node,6052005938
shop=clothes,Lucy's Lounge,Fownes Street Upper Dublin,https://www.etsy.com/uk/shop/LucysLoungeShop,etsy.com,"https://www.google.com/maps/search/?api=1&query=53.3451866,-6.2632796",,,53.3451866,-6.2632796,node,6112928289
shop=clothes,Madigan,Westbury Mall Dublin,https://madigancashmere.com/,madigancashmere.com,"https://www.google.com/maps/search/?api=1&query=53.3415441,-6.2612375",,,53.3415441,-6.2612375,node,10199983670
shop=clothes,Maguire's Outlet,Ballymun Road,https://maguiresoutlet.com/,maguiresoutlet.com,"https://www.google.com/maps/search/?api=1&query=53.4004015,-6.2644045",,,53.4004015,-6.2644045,node,6253063823
shop=clothes,Mango,Henry Street Dublin,https://shop.mango.com/,shop.mango.com,"https://www.google.com/maps/search/?api=1&query=53.3495563,-6.2626306",,Mango,53.3495563,-6.2626306,node,10079508015
shop=clothes,Marian Gale,12 Main Street Dublin,https://www.mariangale.ie/,mariangale.ie,"https://www.google.com/maps/search/?api=1&query=53.3222269,-6.2376037",,,53.3222269,-6.2376037,node,5167945449
shop=clothes,Massimo,45 Dawson Street Dublin,https://www.massimodutti.com/ie/,massimodutti.com,"https://www.google.com/maps/search/?api=1&query=53.341068,-6.2585325",,,53.341068,-6.2585325,node,3133935920
shop=clothes,Massimo Dutti,65 Grafton Street Dublin,https://www.massimodutti.com/ie/,massimodutti.com,"https://www.google.com/maps/search/?api=1&query=53.340922,-6.2608001",,Massimo Dutti,53.340922,-6.2608001,node,6187145167
shop=clothes,Massimo Dutti,,https://massimodutti.com,massimodutti.com,"https://www.google.com/maps/search/?api=1&query=53.2870249,-6.241774",,Massimo Dutti,53.2870249,-6.241774,node,11940354089
shop=clothes,Monaghans Cashmere,Royal Hibernian Way Dublin,https://monaghanscashmere.ie/,monaghanscashmere.ie,"https://www.google.com/maps/search/?api=1&query=53.3415214,-6.2588202",+353-1-6794451,,53.3415214,-6.2588202,node,5113669732
shop=clothes,Monica Peters,10 Rock Hill Blackrock A94 VP03,https://www.monicapeters.ie/,monicapeters.ie,"https://www.google.com/maps/search/?api=1&query=53.3019691,-6.1786733",+353-1-288-8902,,53.3019691,-6.1786733,node,3986683802
shop=clothes,NAME IT,A96 YY29,https://www.nameit.com/ie/en/home,nameit.com,"https://www.google.com/maps/search/?api=1&query=53.2929122,-6.1391145",+353-1-663-8687,NAME IT,53.2929122,-6.1391145,node,9407869224
shop=clothes,New Look,Jervis Street Dublin,https://www.newlook.com/row/store/Dublin-Jervis-Dublin-IE-2061,newlook.com,"https://www.google.com/maps/search/?api=1&query=53.3485896,-6.2656882",,New Look,53.3485896,-6.2656882,node,4711653158
shop=clothes,Next,Jervis Street Dublin,https://www.next.ie/,next.ie,"https://www.google.com/maps/search/?api=1&query=53.3479219,-6.2655514",,Next,53.3479219,-6.2655514,node,4711653163
shop=clothes,Next,,https://www.next.ie/,next.ie,"https://www.google.com/maps/search/?api=1&query=53.3018009,-6.1802749",+353-1-288-4203,Next,53.3018009,-6.1802749,node,4937329773
shop=clothes,Next,,https://www.nextdirect.com/ie,nextdirect.com,"https://www.google.com/maps/search/?api=1&query=53.3896153,-6.3880185",,Next,53.3896153,-6.3880185,way,120720458
shop=clothes,Nine Crows,Cecilia Street Dublin,https://www.shopninecrows.com/pages/our-temple-bar-shop,shopninecrows.com,"https://www.google.com/maps/search/?api=1&query=53.3449425,-6.2639096",,,53.3449425,-6.2639096,node,6112928290
shop=clothes,Noel Reid,Dundrum,https://www.noelreid.ie/,noelreid.ie,"https://www.google.com/maps/search/?api=1&query=53.290743,-6.2459605",+353 1 298 3377,,53.290743,-6.2459605,node,5531473214
shop=clothes,OND O'Neil of Dublin,"Music Hall, Copper Alley, Temple Bar Dublin D08 PFK4",https://oneilofdublin.com,oneilofdublin.com,"https://www.google.com/maps/search/?api=1&query=53.3442462,-6.2689809",+353 1 671 4598,,53.3442462,-6.2689809,node,9516242576
shop=clothes,Om Diva,27 George's Street Arcade Dublin,https://www.omdivaboutique.com/,omdivaboutique.com,"https://www.google.com/maps/search/?api=1&query=53.342385,-6.2634351",,,53.342385,-6.2634351,node,12087084516
shop=clothes,Parkwest Workwear Centre HCHS Ltd.,"Unit 8 Canal Walk, Park West Business Park Dublin D12 N5K3",https://hchs.ie/,hchs.ie,"https://www.google.com/maps/search/?api=1&query=53.3314022,-6.3613283",+353 1 612 0650,,53.3314022,-6.3613283,node,10063099697
shop=clothes,Patagonia,24-26 Exchequer Street Dublin,https://eu.patagonia.com/ie/en/stores/ie/dublin/24-26-exchequer-street/store_dublin.html,eu.patagonia.com,"https://www.google.com/maps/search/?api=1&query=53.3429673,-6.2626881",+353-1-670-5748,Patagonia,53.3429673,-6.2626881,node,3588227041
shop=clothes,Patrick Sheary,33 Clarendon Street Dublin,https://patricksheary.ie/,patricksheary.ie,"https://www.google.com/maps/search/?api=1&query=53.341117,-6.2623301",,,53.341117,-6.2623301,node,12093934888
shop=clothes,Peaches & Cream,30A-32A King Street South Dublin,https://www.peachesandcream.ie/,peachesandcream.ie,"https://www.google.com/maps/search/?api=1&query=53.3406461,-6.2631996",,,53.3406461,-6.2631996,node,11634110544
shop=clothes,Penneys,Town Square,https://www.primark.com/en-ie/stores/dublin/unit-21-penneys-level-2-dundrum-town-centre,primark.com,"https://www.google.com/maps/search/?api=1&query=53.2877831,-6.2427806",+353 1 2415 040,Primark,53.2877831,-6.2427806,node,11940097023
shop=clothes,Penneys,82-85 George's Street Lower Dún Laoghaire A96 XN81,https://stores.primark.com/en_ie/ireland/dun-laoghaire/84-85-lower-george-street,stores.primark.com,"https://www.google.com/maps/search/?api=1&query=53.2928314,-6.1368915",+353-1-2801946,Primark,53.2928314,-6.1368915,way,58692968
shop=clothes,Penneys,Mary Street Dublin,https://www.primark.com/,primark.com,"https://www.google.com/maps/search/?api=1&query=53.34954,-6.2664794",,Primark,53.34954,-6.2664794,way,104378037
shop=clothes,Penneys,39 O'Connell Street Lower Dublin,https://www.primark.com/en-ie/stores/dublin/39-oconnell-street,primark.com,"https://www.google.com/maps/search/?api=1&query=53.3486438,-6.2607008",+353-1-656-6666,Primark,53.3486438,-6.2607008,way,301007195
shop=clothes,Petit Summer,234 Merrion Road,https://www.petit.ie/,petit.ie,"https://www.google.com/maps/search/?api=1&query=53.317469,-6.2080683",+353-1-260-6601,,53.317469,-6.2080683,node,4751529380
shop=clothes,Platform,55b Rathgar Avenue Dublin,https://thesuite.ie/,thesuite.ie,"https://www.google.com/maps/search/?api=1&query=53.3149129,-6.2759762",+353-1-4067028,,53.3149129,-6.2759762,way,299590442
shop=clothes,Protocol Suit Gallery,42 Dawson Street Dublin D02 NX79,https://protocolmenswear.com/,protocolmenswear.com,"https://www.google.com/maps/search/?api=1&query=53.3408338,-6.2585718",+353-1-6772777,,53.3408338,-6.2585718,node,5110046864
shop=clothes,Reiss,1 St. Stephen's Green Dublin,https://www.reiss.com/ie/en,reiss.com,"https://www.google.com/maps/search/?api=1&query=53.3401035,-6.2604316",,Reiss,53.3401035,-6.2604316,way,230479382
shop=clothes,Remus Uomo,St. Stephen's Green Dublin,https://www.remusuomo.com/,remusuomo.com,"https://www.google.com/maps/search/?api=1&query=53.3396857,-6.2590409",,,53.3396857,-6.2590409,node,11407323006
shop=clothes,River Island,Mary Street Dublin,https://www.riverisland.com/how-can-we-help/find-a-store/dublin-ilac,riverisland.com,"https://www.google.com/maps/search/?api=1&query=53.3492074,-6.2646603",,River Island,53.3492074,-6.2646603,node,5377094313
shop=clothes,River Island,102-103 Grafton Street Dublin,https://www.riverisland.com/how-can-we-help/find-a-store/dublin-grafton-street,riverisland.com,"https://www.google.com/maps/search/?api=1&query=53.3430637,-6.2598081",,River Island,53.3430637,-6.2598081,way,260269662
shop=clothes,RobePlan,Goatstown Road,https://www.robeplan.com/,robeplan.com,"https://www.google.com/maps/search/?api=1&query=53.2929009,-6.229278",+353 1 206 4110,,53.2929009,-6.229278,way,110954544
shop=clothes,S.l.o.w S.t.r.e.e.t,16 Main Street Blackrock,https://slowstreet.ie/,slowstreet.ie,"https://www.google.com/maps/search/?api=1&query=53.3015268,-6.1774252",,,53.3015268,-6.1774252,node,3733532959
shop=clothes,Seagreen,Monkstown Crescent Monkstown,http://seagreen.ie/,seagreen.ie,"https://www.google.com/maps/search/?api=1&query=53.2940253,-6.1529057",+353-1-202-0130,,53.2940253,-6.1529057,node,4359042264
shop=clothes,Seagreen,45 Ranelagh Dublin,http://seagreen.ie/,seagreen.ie,"https://www.google.com/maps/search/?api=1&query=53.324777,-6.2542582",+353 1 497 7937,,53.324777,-6.2542582,way,369361432
shop=clothes,Shaws,80-81 George's Street Lower Dún Laoghaire A96 RR77,https://www.shaws.ie/store/dun-laoghaire/,shaws.ie,"https://www.google.com/maps/search/?api=1&query=53.2926444,-6.1365989",,,53.2926444,-6.1365989,way,58692963
shop=clothes,Soho Market,Dublin,https://sohomarketboutique.com/,sohomarketboutique.com,"https://www.google.com/maps/search/?api=1&query=53.340135,-6.2618553",,,53.340135,-6.2618553,node,11634194875
shop=clothes,Stable,2 Westbury Mall Dublin D02NH29,https://www.stableofireland.com/,stableofireland.com,"https://www.google.com/maps/search/?api=1&query=53.3414561,-6.2612053",+353 1 675 3936,,53.3414561,-6.2612053,node,10199983666
shop=clothes,Superdry,6-10 Suffolk Street Dublin D02 X854,https://stores.superdry.ie/dublin/6-10-suffolk-street,stores.superdry.ie,"https://www.google.com/maps/search/?api=1&query=53.3436665,-6.2602046",+35316401116,Superdry,53.3436665,-6.2602046,node,2885252925
shop=clothes,Susan Hunter,13 Westbury Mall Dublin D02XC78,https://susanhunter.ie/,susanhunter.ie,"https://www.google.com/maps/search/?api=1&query=53.3415727,-6.2612125",+353 1 679 1271,,53.3415727,-6.2612125,node,10199983671
shop=clothes,Sweaty Betty,32-33 Anne Street South Dublin,https://www.sweatybetty.com/shop-details/ireland-dublin-501,sweatybetty.com,"https://www.google.com/maps/search/?api=1&query=53.3410976,-6.2601063",,Sweaty Betty,53.3410976,-6.2601063,node,6332870729
shop=clothes,Tallon Tailoring & Formal Dress Hire Service,206 Harold's Cross Road Dublin,https://www.facebook.com/pages/Tallon-Tailoring-Formal-Dress-Hire-Service/149526678542279,facebook.com,"https://www.google.com/maps/search/?api=1&query=53.3226839,-6.2795661",+353 1 4969503,,53.3226839,-6.2795661,node,2986757647
